team1,team2,score1,score2,RESULT,SCORE_DIFF
Phoenix Suns,Utah Jazz,106,95,W,11
Philadelphia 76ers,Orlando Magic,116,92,W,24
New Orleans Pelicans,Oklahoma City Thunder,113,80,W,33
Oklahoma City Thunder,New Orleans Pelicans,80,113,L,-33
Sacramento Kings,Houston Rockets,119,122,L,-3
Houston Rockets,Sacramento Kings,122,119,W,3
Chicago Bulls,Washington Wizards,133,130,W,3
Washington Wizards,Chicago Bulls,130,133,L,-3
Cleveland Cavaliers,Indiana Pacers,99,119,L,-20
Indiana Pacers,Cleveland Cavaliers,119,99,W,20
New York Knicks,Toronto Raptors,83,100,L,-17
Toronto Raptors,New York Knicks,100,83,W,17
Los Angeles Lakers,San Antonio Spurs,121,107,W,14
San Antonio Spurs,Los Angeles Lakers,107,121,L,-14
Portland Trail Blazers,Los Angeles Clippers,105,128,L,-23
Los Angeles Clippers,Portland Trail Blazers,128,105,W,23
Charlotte Hornets,Dallas Mavericks,118,99,W,19
Dallas Mavericks,Charlotte Hornets,99,118,L,-19
Atlanta Hawks,Brooklyn Nets,141,145,L,-4
Brooklyn Nets,Atlanta Hawks,145,141,W,4
Memphis Grizzlies,Boston Celtics,107,126,L,-19
Boston Celtics,Memphis Grizzlies,126,107,W,19
Milwaukee Bucks,Miami Heat,108,119,L,-11
Miami Heat,Milwaukee Bucks,119,108,W,11
New Orleans Pelicans,Phoenix Suns,86,111,L,-25
Phoenix Suns,New Orleans Pelicans,111,86,W,25
Chicago Bulls,Washington Wizards,115,107,W,8
Washington Wizards,Chicago Bulls,107,115,L,-8
New York Knicks,Cleveland Cavaliers,95,86,W,9
Cleveland Cavaliers,New York Knicks,86,95,L,-9
Denver Nuggets,Sacramento Kings,115,125,L,-10
Sacramento Kings,Denver Nuggets,125,115,W,10
Golden State Warriors,Detroit Pistons,116,106,W,10
Detroit Pistons,Golden State Warriors,106,116,L,-10
Orlando Magic,Oklahoma City Thunder,118,107,W,11
Oklahoma City Thunder,Orlando Magic,107,118,L,-11
Minnesota Timberwolves,Los Angeles Clippers,101,124,L,-23
Los Angeles Clippers,Minnesota Timberwolves,124,101,W,23
Milwaukee Bucks,Miami Heat,144,97,W,47
Miami Heat,Milwaukee Bucks,97,144,L,-47
Toronto Raptors,Philadelphia 76ers,93,100,L,-7
Philadelphia 76ers,Toronto Raptors,100,93,W,7
Boston Celtics,Indiana Pacers,116,111,W,5
Indiana Pacers,Boston Celtics,111,116,L,-5
Detroit Pistons,Atlanta Hawks,120,128,L,-8
Atlanta Hawks,Detroit Pistons,128,120,W,8
Portland Trail Blazers,Los Angeles Lakers,115,107,W,8
Los Angeles Lakers,Portland Trail Blazers,107,115,L,-8
Memphis Grizzlies,Brooklyn Nets,116,111,W,5
Brooklyn Nets,Memphis Grizzlies,111,116,L,-5
Houston Rockets,Denver Nuggets,111,124,L,-13
Denver Nuggets,Houston Rockets,124,111,W,13
Utah Jazz,Oklahoma City Thunder,110,109,W,1
Oklahoma City Thunder,Utah Jazz,109,110,L,-1
Boston Celtics,Indiana Pacers,107,108,L,-1
